name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
Sarah	Danish Pop	7123	1	2.13	Herlev, Hovedstaden, Denmark	https://rateyourmusic.com/artist/sarah_f4	https://open.spotify.com/artist/2ZBc25q5YEiXNxTzuOfYo2
Sarah June	Singer-Songwriter, Contemporary Folk	224	79	3.29	San Francisco, CA, United States	https://rateyourmusic.com/artist/sarah_june	https://open.spotify.com/artist/3RIFTN8YxpKOHakzmXQEV5
Sarchasm	Pop Punk	1708	13	3.62		https://rateyourmusic.com/artist/sarchasm	https://open.spotify.com/artist/7zVG8565LATGJCC8gacuFm
Scandroid	Synthwave, Darksynth, Synthpop	103110	264	3.24	Los Angeles, CA, United States	https://rateyourmusic.com/artist/scandroid	https://open.spotify.com/artist/27qG899eLldfpYtPr3S3NJ
Schmekel	Queercore	6271	12	3.22		https://rateyourmusic.com/artist/schmekel	https://open.spotify.com/artist/2IrK3yjjp5jnpb3xBjTR4G
Seal Eggs	Ambient	156	8	3.62	Colorado Springs, CO, United States	https://rateyourmusic.com/artist/seal-eggs	https://open.spotify.com/artist/3Er2PqOoxWn0vRzjlDAqZC
Sebastian Thomas	Ambient, Musique concrète	None	18	3.64		https://rateyourmusic.com/artist/sebastian-thomas-1	None
Secret Miracle	Punk	None	15	3.78		https://rateyourmusic.com/artist/secret-miracle-1	None
SeeYouSpaceCowboy	Metalcore, Mathcore, Sasscore, Post-Hardcore	61798	2429	3.47		https://rateyourmusic.com/artist/seeyouspacecowboy	https://open.spotify.com/artist/7CFS5X96xBaJft4QdzTTC1
Serene Ailment	Power Electronics, Drone	64	89	3.47		https://rateyourmusic.com/artist/serene-ailment	https://open.spotify.com/artist/2credM8GofFEjrs8VCKhoJ
Serpent16	Electronic	103	1	3.17	London, Greater London, United Kingdom	https://rateyourmusic.com/artist/serpent16	https://open.spotify.com/artist/4j2Mu3FwawwsUwmluTczER
séverine	Electronic	None	12	3.66	Los Angeles, CA, United States	https://rateyourmusic.com/artist/severine-2	None
Sewerslvt	Atmospheric Drum and Bass, Electronic Dance Music, Drum and Bass, Hardcore [EDM], Breakcore, Trancestep	300574	9336	3.36	Sydney, NSW, Australia	https://rateyourmusic.com/artist/sewerslvt	https://open.spotify.com/artist/30F64wQIHvLiFTGaNZ73nU
Sfire	Italo-Disco, Synthpop	6098	369	3.63		https://rateyourmusic.com/artist/sfire	https://open.spotify.com/artist/1DrfvAYR9EE93iN2z9mVKE
Shawna Virago	Singer-Songwriter	571	2	0.0	San Francisco, CA, United States	https://rateyourmusic.com/artist/shawna-virago-1	https://open.spotify.com/artist/4PqXOsEQxIQtT0h60KSIUv
